,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_700,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Subulicystidium,brachysporum,FOTU_700,Subulicystidium_brachysporum,FOTU_700_Subulicystidium_brachysporum
FOTU_701,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unidentified,FOTU_701,Penicillium,FOTU_701_Penicillium
FOTU_702,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypa,leptoplaca,FOTU_702,Eutypa_leptoplaca,FOTU_702_Eutypa_leptoplaca
FOTU_703,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Resupinatus,americanus,FOTU_703,Resupinatus_americanus,FOTU_703_Resupinatus_americanus
FOTU_704,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Nigrogranaceae,Nigrograna,aquatica,FOTU_704,Nigrograna_aquatica,FOTU_704_Nigrograna_aquatica
FOTU_705,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,liriodendri,FOTU_705,Erysiphe_liriodendri,FOTU_705_Erysiphe_liriodendri
FOTU_706,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Amorocoelophoma,cassiae,FOTU_706,Amorocoelophoma_cassiae,FOTU_706_Amorocoelophoma_cassiae
FOTU_707,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,nigricans,FOTU_707,Auricularia_nigricans,FOTU_707_Auricularia_nigricans
FOTU_708,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_708,unidentified,FOTU_708_unidentified
FOTU_709,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,unidentified,unidentified,FOTU_709,Teichosporaceae,FOTU_709_Teichosporaceae
FOTU_710,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_710,Ascomycota,FOTU_710_Ascomycota
FOTU_711,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,polychroa,FOTU_711,Pholiota_polychroa,FOTU_711_Pholiota_polychroa
FOTU_712,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Minimedusa,polyspora,FOTU_712,Minimedusa_polyspora,FOTU_712_Minimedusa_polyspora
FOTU_713,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_713,unidentified,FOTU_713_unidentified
FOTU_714,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Poaceascoma,unidentified,FOTU_714,Poaceascoma,FOTU_714_Poaceascoma
FOTU_715,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,prolifica,FOTU_715,Periconia_prolifica,FOTU_715_Periconia_prolifica
FOTU_716,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_716,Fungi,FOTU_716_Fungi
FOTU_717,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Amyloporia,sinuosa,FOTU_717,Amyloporia_sinuosa,FOTU_717_Amyloporia_sinuosa
FOTU_718,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,unidentified,FOTU_718,Biatriospora,FOTU_718_Biatriospora
